policy,config,dev_omega,crit_dev
ch0,raw-k1,57.0466,0.5379
ch0,conf-soft-m0-k1,54.8997,0.4084
ch0,conf-soft-m10-k1,55.1264,0.4796
ch0,conf-soft-m30-k1,55.4875,0.5124
ch0,conf-soft-m100-k1,56.1914,0.5276
ch0,conf-soft-m300-k1,56.6789,0.5337
ch0,ratio-soft-k1,55.2571,0.4191
ch0,zscore-soft-k1,55.3889,0.4399
ch0,conf-hard-m0-k1,55.4972,0.4213
ch0,conf-hard-m10-k1,55.625,0.4695
ch0,conf-hard-m30-k1,55.8766,0.5082
ch0,conf-hard-m100-k1,56.4164,0.5261
ch0,conf-hard-m300-k1,56.8944,0.5329
ch0,ratio-hard-k1,55.3202,0.403
ch0,zscore-hard-k1,55.5303,0.4409
ch0,raw-k2,55.9695,0.5598
ch0,conf-soft-m0-k2,54.3885,0.4076
ch0,conf-soft-m10-k2,54.5795,0.4993
ch0,conf-soft-m30-k2,55.0089,0.5339
ch0,conf-soft-m100-k2,55.6353,0.5505
ch0,conf-soft-m300-k2,56.2494,0.5558
ch0,ratio-soft-k2,54.7463,0.4282
ch0,zscore-soft-k2,54.7881,0.4319
ch0,conf-hard-m0-k2,54.9436,0.4146
ch0,conf-hard-m10-k2,55.0738,0.4907
ch0,conf-hard-m30-k2,55.3094,0.529
ch0,conf-hard-m100-k2,55.8369,0.5489
ch0,conf-hard-m300-k2,56.398,0.5554
ch0,ratio-hard-k2,54.7826,0.3997
ch0,zscore-hard-k2,54.8766,0.4275
ch0,raw-k4,54.2043,0.5632
ch0,conf-soft-m0-k4,54.0299,0.4109
ch0,conf-soft-m10-k4,54.2315,0.5033
ch0,conf-soft-m30-k4,54.6413,0.5374
ch0,conf-soft-m100-k4,55.2728,0.5534
ch0,conf-soft-m300-k4,55.6353,0.5584
ch0,ratio-soft-k4,54.4308,0.4483
ch0,zscore-soft-k4,54.4692,0.4307
ch0,conf-hard-m0-k4,54.6402,0.4159
ch0,conf-hard-m10-k4,54.7858,0.4911
ch0,conf-hard-m30-k4,55.0408,0.5313
ch0,conf-hard-m100-k4,55.5165,0.5516
ch0,conf-hard-m300-k4,55.8384,0.5575
ch0,ratio-hard-k4,54.5281,0.4
ch0,zscore-hard-k4,54.564,0.4308
ch0,ldn-ratio-K1,55.2275,0.4161
ch0,ldn-ratio-K16,55.268,0.4223
ch0,ldn-diff-K1,55.3638,0.4597
ch0,ldn-diff-K16,50.7376,0.4199
ch0,conf-soft-m0-ldnK1,55.2187,0.4057
ch0,conf-soft-m30-ldnK1,55.2069,0.4069
mix,raw-k1,55.9435,0.5348
mix,conf-soft-m0-k1,54.3119,0.4042
mix,conf-soft-m10-k1,54.6015,0.4798
mix,conf-soft-m30-k1,54.8872,0.5126
mix,conf-soft-m100-k1,55.5436,0.5261
mix,conf-soft-m300-k1,56.0621,0.5302
mix,ratio-soft-k1,54.5042,0.429
mix,zscore-soft-k1,54.5698,0.4396
mix,conf-hard-m0-k1,54.424,0.413
mix,conf-hard-m10-k1,54.7059,0.4706
mix,conf-hard-m30-k1,54.9181,0.5086
mix,conf-hard-m100-k1,55.5855,0.5272
mix,conf-hard-m300-k1,56.1299,0.5314
mix,ratio-hard-k1,54.3489,0.4061
mix,zscore-hard-k1,54.5823,0.429
mix,raw-k2,55.2317,0.5632
mix,conf-soft-m0-k2,53.9648,0.4204
mix,conf-soft-m10-k2,54.3498,0.5038
mix,conf-soft-m30-k2,54.7353,0.5369
mix,conf-soft-m100-k2,55.3009,0.554
mix,conf-soft-m300-k2,55.8055,0.5594
mix,ratio-soft-k2,54.2645,0.4457
mix,zscore-soft-k2,54.2375,0.4377
mix,conf-hard-m0-k2,54.2038,0.4226
mix,conf-hard-m10-k2,54.4396,0.496
mix,conf-hard-m30-k2,54.7167,0.5347
mix,conf-hard-m100-k2,55.3684,0.5538
mix,conf-hard-m300-k2,55.9048,0.5593
mix,ratio-hard-k2,54.1505,0.4154
mix,zscore-hard-k2,54.3337,0.4343
mix,raw-k4,53.679,0.5593
mix,conf-soft-m0-k4,53.7141,0.4203
mix,conf-soft-m10-k4,53.9461,0.5034
mix,conf-soft-m30-k4,54.3383,0.5356
mix,conf-soft-m100-k4,55.0383,0.5507
mix,conf-soft-m300-k4,55.2806,0.5552
mix,ratio-soft-k4,53.9506,0.4538
mix,zscore-soft-k4,53.8441,0.4315
mix,conf-hard-m0-k4,54.0017,0.4174
mix,conf-hard-m10-k4,54.2003,0.4907
mix,conf-hard-m30-k4,54.4435,0.5328
mix,conf-hard-m100-k4,55.1112,0.5516
mix,conf-hard-m300-k4,55.3763,0.5558
mix,ratio-hard-k4,53.8936,0.4054
mix,zscore-hard-k4,54.0584,0.43
mix,ldn-ratio-K1,53.1489,0.4199
mix,ldn-ratio-K16,52.4882,0.4148
mix,ldn-diff-K1,53.3258,0.4558
mix,ldn-diff-K16,50.5611,0.4373
mix,conf-soft-m0-ldnK1,53.1797,0.4129
mix,conf-soft-m30-ldnK1,53.1848,0.4139
